source_stream_title,post_type,item_id,item_title,item_description,item_seo_title,item_seo_description,item_thumbnail_url,item_canonical_url,item_tags,item_hidden,item_published_at,author_first_name,author_last_name,item_url
Historias de clientes,customer_lp,429659367,99designs,99designs sustituye 3 sistemas con una solución omnicanal de Zendesk,99designs sustituye 3 sistemas con una solución omnicanal de Zendesk,99designs sustituye 3 sistemas con una solución omnicanal de Zendesk,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZTc2ZDZmMmM5NzQuanBnJnZlcnNpb249MDAwMCZzaWc9NWI4MmRiMjhjMzZlYTYzM2I1ZTBlNjA3ODE3ODE4ZWM%253D,99designs,"Zendesk,99designs",FALSE,2018-04-30 15:15:29,,,https://recursos.zendesk.com.mx/historias-de-clientes/99designs
Historias de clientes,customer_lp,429989889,Airbnb,Descubre cómo Airbnb acogió a Zendesk como su plataforma de soporte y así miles de personas se hospedan felizmente alrededor del mundo.,Airbnb,Descubre cómo Airbnb acogió a Zendesk como su plataforma de soporte y así miles de personas se hospedan felizmente alrededor del mundo.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZThkZGNkODNkNzUuanBnJnZlcnNpb249MDAwMCZzaWc9NmY5NTk0ZDM5MTUyNDNkYWEzNDA4Yjg0ZGFmZDczOTM%253D,airbnb-2,"Airbnb,Zendesk,customer success,Customer experience,atención,atención al cliente,cliente",FALSE,2018-05-01 17:39:44,,,https://recursos.zendesk.com.mx/historias-de-clientes/airbnb-2
Historias de clientes,customer_lp,422197845,Avantrip,Avantrip logró con Zendesk una experiencia de compra excelente.,Avantrip logró con Zendesk una experiencia de compra excelente.,Avantrip logró con Zendesk una experiencia de compra excelente.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhYzU0ZGE3OTI3OWMuanBnJnZlcnNpb249MDAwMCZzaWc9ZTM1MDE1ZTA3OWE1YzNlYmM4ZDkxOThhOTU1MWJhNDI%253D,,"Avantrip,Zendesk,Experiencia de compra,customer success",FALSE,2018-04-04 18:11:01,,,https://recursos.zendesk.com.mx/historias-de-clientes/avantrip
Historias de clientes,customer_lp,388579924,Cleverbridge ,Cleverbridge experimentó un índice de redirección de tickets de un 24 % con Zendesk Guide,,Cleverbridge experimentó un índice de redirección de tickets de un 24% con Zendesk Guide,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMjVlNDVlMmQyZGMuanBnJnZlcnNpb249MDAwMCZzaWc9MWI2YzIyODJmMjdmNTJjNjQ2M2UzMGRjNWIwOGEwZWM%253D,,"#Zendesk,#Cleverbridge",FALSE,2017-12-04 19:12:30,,,https://recursos.zendesk.com.mx/historias-de-clientes/cleverbridge
Historias de clientes,customer_lp,485430359,Customer experience y omnicanalidad:  las claves de la estrategia digital de Elektra,"Elektra, la empresa líder de México de comercio especializado y servicios financieros, logró poner al cliente en el centro de su negocio y brindar mejores experiencias con Zendesk.",Customer experience y omnicanalidad: las claves de la estrategia digital de Elektra,"Elektra, la empresa líder de México de comercio especializado y servicios financieros, logró poner al cliente en el centro de su negocio y brindar mejores experiencias con Zendesk.",https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVjMTBmZWYyMjA4NTIucG5nJnZlcnNpb249MDAwMCZzaWc9NDdkNTNlZTAzZmI1Yzc0MzgyNzFhYzBkNGE4YzJjZmI%253D,Experiencia-cliente-omnicanalidad-claves-estrategia- digital-Elektra,"atención al cliente,omnicanal,Zendesk Chat,zendesk guide,elektra",FALSE,2018-12-12 7:28:54,Daniella,De Caprio,https://recursos.zendesk.com.mx/historias-de-clientes/experiencia-cliente-omnicanalidad-claves-estrategia-digital-elektra
Historias de clientes,customer_lp,429684234,Ebates,Ebates consiguió una puntuación CSAT del 93 % gracias a la solución omnicanal de Zendesk,Ebates consigue alto puntaje en CSAT gracias a Zendesk,Ebates consiguió una puntuación CSAT del 93 % gracias a la solución omnicanal de Zendesk,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhZTc4MDlkM2Q2NDguanBnJnZlcnNpb249MDAwMCZzaWc9MGYzNzUwYTdlODU0MmFkZjg0ZWZmZDIyNjNhM2I5MDU%253D,ebates,"Ebates,Zendesk",FALSE,2018-04-30 16:45:31,,,https://recursos.zendesk.com.mx/historias-de-clientes/ebates
Historias de clientes,customer_lp,388567753,Evernote,Evernote experimentó una reducción de un 17 % en el volumen de tickets después de configurar su Centro de ayuda,,Evernote experimentó una reducción de un 17 % en el volumen de tickets después de configurar su Centro de ayuda,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMjVlMTk1ODc3YWYuanBnJnZlcnNpb249MDAwMCZzaWc9YTU1NDIzMzViMTNjYzQ2ZGRjMjg5NzFhNTQ4ZDA4Yzk%253D,,,FALSE,2017-12-04 18:48:52,,,https://recursos.zendesk.com.mx/historias-de-clientes/evernote-2
Historias de clientes,customer_lp,388548832,Fossil,Fossil consolidó herramientas para dar soporte a 14 marcas con Zendesk,,,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhMjViZWI4NmI5ZTEuanBnJnZlcnNpb249MDAwMCZzaWc9ZGJjOGU5OGFjYzUyMDE4YjFhYmMzNTI5NmM4ZTNkOTU%253D,,"#Zendesk,#AtenciónAlCliente,#fossil",FALSE,2017-12-04 16:32:19,,,https://recursos.zendesk.com.mx/historias-de-clientes/fossil-2
Historias de clientes,customer_lp,421961448,GA Tech Solutions,"Rogelio Acebedo, CEO de GA, nos cuenta cómo en su búsqueda por estar a la vanguardia, eligió a Zendesk de entre otras soluciones en el mercado.",GA a la vanguardia con Zendesk.,GA a la vanguardia con Zendesk.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzVhYzUwOWNlNTkwMjkucG5nJnZlcnNpb249MDAwMCZzaWc9MzFjOGYwMTliZGUyOWVhY2JjMGM5NDdkYmY5NzBlZDg%253D,GA Tech Solutions a la vanguardia con Zendesk.,"GA Tech Solutions,Zendesk,customer success",FALSE,2018-04-03 21:26:32,,,https://recursos.zendesk.com.mx/historias-de-clientes/ga-tech-solutions
Historias de clientes,customer_lp,465811406,iVoy impulsa la relación con sus clientes de la mano de Zendesk,Ivoy aumentó 98% de CSAT y redujo en menos de 60 minutos el tiempo de resolución de consultas,Ivoy prioriza la relación con sus clientes y aumentó sus ventas 17% con Zendesk,Ivoy aumentó 98% de CSAT y redujo en menos de 60 minutos el tiempo de resolución de consultas.,https://content.cdntwrk.com/files/aHViPTY2NDg5JmNtZD1pdGVtZWRpdG9yaW1hZ2UmZmlsZW5hbWU9aXRlbWVkaXRvcmltYWdlXzViYTkzN2M0ZGU1ZmUuanBnJnZlcnNpb249MDAwMCZzaWc9OWYyMGM1M2FiODMzNTA5MTE4M2RkZGVhYmNkZmY3MzQ%253D,Ivoy -prioriza-relación-clientes- aumentó-ventas-17-Zendesk,"atención al cliente,empresas,ivoy,servicio al cliente,zendesk support,Zendesk Chat",FALSE,2018-09-24 15:15:32,Daniella,De Caprio,https://recursos.zendesk.com.mx/historias-de-clientes/ivoy-mx
